,value
S_pc_early_mean,0.090883769094944
S_pc_late_mean,0.14703144133090973
S_pc_early_min,1.3171248315200943e-28
S_pc_late_min,0.120030477643013
S_pc_early_max,0.199812650680542
S_pc_late_max,0.18903326988220215
h_out_early_mean,-0.11460506170988083
h_out_late_mean,0.9487431645393372
h_out_early_min,-1.997047781944275
h_out_late_min,0.20692874491214752
h_out_early_max,0.6531855463981628
h_out_late_max,1.5432509183883667
chi_max_early_mean,1.1748707294464111
chi_max_late_mean,1.2391390800476074
chi_max_early_min,0.5004863142967224
chi_max_late_min,1.2389642000198364
chi_max_early_max,1.2391914129257202
chi_max_late_max,1.2391914129257202
pressure_drop_early_mean,93.10929958155897
pressure_drop_late_mean,92.99992820544121
gravity_early_mean,21.018015486295106
gravity_late_mean,16.54556186382587
friction_dist_early_mean,15.281198962790068
friction_dist_late_mean,13.631172962677784
local_in_early_mean,15.113163916791072
local_in_late_mean,8.819630470031347
local_out_early_mean,37.805852374092474
local_out_late_mean,51.23102104969514
accel_early_mean,-0.0011962707117238068
accel_late_mean,-0.0020420912732310495
flux_jump_early_mean,2.263758626140532
flux_jump_late_mean,4.309498624923902
budget_residual_early_mean,-1.6285062696112962
budget_residual_late_mean,1.534914261255509
R_mass_int_early_rms,0.01708855852484703
R_mass_int_late_rms,0.0155203090980649
R_energy_int_early_rms,0.046328507363796234
R_energy_int_late_rms,0.017324939370155334
